RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ZeroBalance_Highsalary_Flag,Product_Engagement_Score,Balance_to_Salary_Ratio
1,15634602,Hargrave,515.5,France,Female,26.0,2,0.0,1,1,1,1632.4624999999942,1,1,3,0.0
2,15647311,Hill,515.5,Spain,Female,26.0,1,83807.86,1,0,1,1632.4624999999942,0,0,2,51.338306392949484
3,15619304,Onio,502.0,France,Female,26.0,8,159660.8,3,1,0,1632.4624999999942,1,0,4,97.80365552041812
4,15701354,Boni,515.5,France,Female,26.0,1,0.0,2,0,0,1632.4624999999942,0,0,2,0.0
5,15737888,Mitchell,515.5,Spain,Female,26.0,2,125510.82,1,1,1,1632.4624999999942,0,0,3,76.88435109535469
6,15574012,Chu,515.5,Spain,Male,26.0,8,113755.78,2,1,0,1632.4624999999942,1,0,3,69.68354862669152
7,15592531,Bartlett,515.5,France,Male,26.0,7,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
8,15656148,Obinna,380.5,Germany,Female,26.0,4,115046.74,4,1,0,1632.4624999999942,1,0,5,70.47435392849785
9,15792365,He,501.0,France,Male,26.0,4,142051.07,2,0,1,1632.4624999999942,0,0,3,87.01643682473595
10,15592389,H?,515.5,France,Male,26.0,2,134603.88,1,1,1,1632.4624999999942,0,0,3,82.45450048622892
11,15767821,Bearce,515.5,France,Male,26.0,6,102016.72,2,0,0,1632.4624999999942,0,0,2,62.49253505057566
12,15737173,Andrews,497.0,Spain,Male,24.0,3,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
13,15632264,Kay,476.0,France,Female,26.0,10,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
14,15691483,Chin,515.5,France,Female,25.0,5,0.0,2,0,0,1632.4624999999942,0,1,2,0.0
15,15600882,Scott,515.5,Spain,Female,26.0,7,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
16,15643966,Goforth,515.5,Germany,Male,26.0,3,143129.41,2,0,1,1632.4624999999942,0,0,3,87.67699717451428
17,15737452,Romeo,515.5,Germany,Male,26.0,1,132602.88,1,1,0,1632.4624999999942,1,0,2,81.22874491757113
19,15661507,Muldrow,515.5,Spain,Male,26.0,6,0.0,1,0,0,1632.4624999999942,0,1,1,0.0
20,15568982,Hao,515.5,France,Female,24.0,6,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
21,15577657,McDonald,515.5,France,Male,26.0,8,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
22,15597945,Dellucci,515.5,Spain,Female,26.0,8,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
23,15699309,Gerasimov,510.0,Spain,Female,26.0,4,0.0,1,1,0,1632.4624999999942,1,1,2,0.0
24,15725737,Mosman,515.5,France,Male,26.0,3,0.0,2,0,1,1632.4624999999942,0,0,3,0.0
25,15625047,Yen,515.5,France,Female,26.0,5,0.0,1,1,1,1632.4624999999942,0,1,3,0.0
26,15738191,Maclean,515.5,France,Male,25.0,3,0.0,2,0,1,1632.4624999999942,0,1,3,0.0
27,15736816,Young,515.5,Germany,Male,26.0,2,136815.64,1,1,1,1632.4624999999942,0,0,3,83.80936162392734
28,15700772,Nebechi,515.5,France,Male,26.0,9,0.0,2,0,0,1632.4624999999942,0,0,2,0.0
29,15728693,McWilliams,515.5,Germany,Female,26.0,3,141349.43,1,1,1,1632.4624999999942,0,0,3,86.58663215847255
30,15656300,Lucciano,411.0,France,Male,26.0,0,59697.17,2,1,1,1632.4624999999942,0,0,4,36.56878488786126
31,15589475,Azikiwe,515.5,Spain,Female,26.0,3,0.0,3,1,0,1632.4624999999942,1,1,4,0.0
32,15706552,Odinakachukwu,515.5,France,Male,26.0,7,85311.7,1,0,1,1632.4624999999942,0,0,2,52.259515915373434
33,15750181,Sanderson,515.5,Germany,Male,26.0,9,110112.54,2,0,0,1632.4624999999942,0,0,2,67.45180364020636
34,15659428,Maggard,515.5,Spain,Female,26.0,6,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
35,15732963,Clements,515.5,Spain,Female,26.0,9,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
36,15794171,Lombardo,475.0,France,Female,26.0,0,134264.04,1,1,0,1632.4624999999942,1,0,2,82.24632418815163
37,15788448,Watson,490.0,Spain,Male,26.0,3,145260.23,1,0,1,1632.4624999999942,0,0,2,88.98227677511767
38,15729599,Lorenzo,515.5,Spain,Male,26.0,7,76548.6,1,0,1,1632.4624999999942,0,0,2,46.89149061617053
39,15717426,Armstrong,515.5,France,Male,26.0,7,0.0,1,1,1,1632.4624999999942,0,0,3,0.0
40,15585768,Cameron,515.5,Germany,Male,26.0,6,70349.48,2,0,1,1632.4624999999942,0,0,3,43.094086387895736
41,15619360,Hsiao,472.0,Spain,Male,26.0,4,0.0,1,1,0,1632.4624999999942,0,0,2,0.0
